transaction_id,customer_id,agent_id,merchant_id,transaction_type,amount,status,transaction_date,failure_reason,channel
TXN0000081,CUST00544,AGENT0076,MERCH0088,Transfer,98799.96,Success,2025-04-19 23:07:33,,Mobile App
TXN0000082,CUST00722,AGENT0125,MERCH0085,Airtime Purchase,92902.95,Success,2025-08-01 10:49:41,,Mobile App
TXN0000083,CUST00733,AGENT0126,MERCH0012,QR Payment,73587.05,Failed,2025-05-20 04:39:36,,Mobile App
TXN0000084,CUST00377,AGENT0106,MERCH0012,Transfer,255498.05,Success,2025-02-08 21:49:26,,USSD
TXN0000085,CUST00218,AGENT0147,MERCH0030,Transfer,181861.12,Success,2024-12-10 20:05:13,,Mobile App
TXN0000086,CUST00598,AGENT0011,MERCH0011,Transfer,10299.12,Success,2025-07-14 03:51:09,,USSD
TXN0000087,CUST00543,AGENT0070,MERCH0055,Transfer,98487.65,Success,2025-05-28 12:25:35,,Mobile App
TXN0000088,CUST00385,AGENT0082,MERCH0067,Transfer,27918.31,Success,2024-09-09 16:27:39,,POS
TXN0000089,CUST00720,AGENT0090,MERCH0004,QR Payment,42064.22,Success,2025-02-23 21:20:05,,Mobile App
TXN0000090,CUST00665,AGENT0050,MERCH0095,Transfer,184327.55,Success,2025-07-04 17:30:09,,USSD
TXN0000091,CUST00140,AGENT0149,MERCH0004,Wallet Top-up,19810.99,Success,2024-11-20 05:24:21,,USSD
TXN0000092,CUST00169,AGENT0123,MERCH0087,Transfer,280261.65,Success,2024-12-29 15:07:29,,Mobile App
TXN0000093,CUST00076,AGENT0028,MERCH0052,Transfer,216369.26,Success,2024-10-17 15:47:12,,Mobile App
TXN0000094,CUST00238,AGENT0015,MERCH0047,Airtime Purchase,262548.21,Success,2025-02-09 10:26:39,,Mobile App
TXN0000095,CUST00236,AGENT0005,MERCH0059,Airtime Purchase,298374.01,Success,2025-05-21 11:50:19,,Mobile App
TXN0000096,CUST00415,AGENT0122,MERCH0034,QR Payment,85516.52,Success,2025-02-07 06:56:00,,Mobile App
TXN0000097,CUST00577,AGENT0043,MERCH0075,QR Payment,225538.63,Success,2024-08-19 05:53:35,,Mobile App
TXN0000098,CUST00774,AGENT0132,MERCH0045,Airtime Purchase,181194.39,Success,2025-05-19 02:23:16,,Mobile App
TXN0000099,CUST00069,AGENT0048,MERCH0030,Transfer,283712.64,Success,2025-05-17 06:09:55,,USSD
TXN0000100,CUST00339,AGENT0106,MERCH0091,Transfer,216398.35,Success,2024-11-08 05:07:21,,Mobile App
TXN0000101,CUST00751,AGENT0070,MERCH0088,Transfer,162685.41,Success,2024-08-18 10:14:07,Network Error,Mobile App
TXN0000102,CUST00608,AGENT0127,MERCH0071,Wallet Top-up,12490.3,Success,2024-12-10 05:26:36,,Mobile App
TXN0000103,CUST00069,AGENT0013,MERCH0026,Airtime Purchase,104399.88,Success,2024-08-23 00:57:58,,USSD
TXN0000104,CUST00523,AGENT0006,MERCH0078,Transfer,70765.23,Success,2024-09-17 07:06:41,,Mobile App
TXN0000105,CUST00620,AGENT0084,MERCH0092,QR Payment,54295.72,Success,2024-12-15 11:32:17,,Mobile App
TXN0000106,CUST00263,AGENT0062,MERCH0054,Bill Payment,123264.59,Success,2025-07-22 16:29:16,,USSD
TXN0000107,CUST00603,AGENT0133,MERCH0083,Bill Payment,152860.61,Success,2025-04-16 06:02:41,,Mobile App
TXN0000108,CUST00156,AGENT0026,MERCH0043,Wallet Top-up,126700.19,Success,2025-02-12 11:29:59,,USSD
TXN0000109,CUST00142,AGENT0086,MERCH0011,POS Withdrawal,82610.22,Success,2024-11-23 01:08:34,,POS
TXN0000110,CUST00364,AGENT0122,MERCH0074,POS Withdrawal,209135.97,Success,2024-08-15 15:25:55,,USSD
TXN0000111,CUST00170,AGENT0020,MERCH0033,Transfer,90383.83,Success,2025-07-27 14:38:54,,POS
TXN0000112,CUST00032,AGENT0121,MERCH0088,Wallet Top-up,154078.29,Success,2025-07-08 08:59:06,,Mobile App
TXN0000113,CUST00529,AGENT0060,MERCH0056,Wallet Top-up,248015.88,Failed,2024-08-15 17:28:21,,Mobile App
TXN0000114,CUST00429,AGENT0128,MERCH0095,Airtime Purchase,120783.26,Success,2024-12-08 14:33:30,,Mobile App
TXN0000115,CUST00796,AGENT0122,MERCH0032,Bill Payment,296261.92,Success,2025-05-05 16:02:13,,Mobile App
TXN0000116,CUST00430,AGENT0030,MERCH0023,Wallet Top-up,116148.83,Success,2025-07-30 00:59:29,,USSD
TXN0000117,CUST00349,AGENT0046,MERCH0005,Airtime Purchase,105719.34,Success,2024-11-27 11:46:43,,Mobile App
TXN0000118,CUST00665,AGENT0070,MERCH0083,Wallet Top-up,131930.68,Success,2024-12-29 00:27:41,,USSD
TXN0000119,CUST00599,AGENT0035,MERCH0071,Wallet Top-up,104193.45,Success,2024-09-30 09:26:43,,Mobile App
TXN0000120,CUST00443,AGENT0106,MERCH0087,Transfer,199407.09,Failed,2024-09-30 03:05:22,Invalid PIN,Mobile App
TXN0000121,CUST00302,AGENT0116,MERCH0034,Transfer,230229.41,Success,2024-10-27 21:12:54,,Mobile App
TXN0000122,CUST00502,AGENT0133,MERCH0041,Bill Payment,83275.74,Success,2024-11-02 18:51:14,,Mobile App
TXN0000123,CUST00150,AGENT0127,MERCH0015,Transfer,39774.21,Success,2024-09-03 21:40:02,,USSD
TXN0000124,CUST00031,AGENT0098,MERCH0058,Airtime Purchase,196546.54,Failed,2024-09-22 22:55:19,,Mobile App
TXN0000125,CUST00326,AGENT0136,MERCH0038,Wallet Top-up,63023.11,Success,2025-05-17 07:48:44,Account Frozen,Mobile App
TXN0000126,CUST00544,AGENT0020,MERCH0051,Transfer,174037.36,Success,2024-12-15 10:32:04,,Mobile App
TXN0000127,CUST00208,AGENT0011,MERCH0051,Airtime Purchase,173116.98,Success,2025-06-21 06:26:57,,Mobile App
TXN0000128,CUST00508,AGENT0028,MERCH0017,Transfer,94254.5,Success,2024-11-03 21:51:00,,Mobile App
TXN0000129,CUST00217,AGENT0018,MERCH0071,POS Withdrawal,201104.14,Failed,2024-12-03 11:09:34,,POS
TXN0000130,CUST00227,AGENT0056,MERCH0059,POS Withdrawal,150970.74,Success,2025-08-06 09:34:10,,Web
TXN0000131,CUST00659,AGENT0048,MERCH0002,POS Withdrawal,721.08,Success,2024-10-08 13:20:00,,Mobile App
TXN0000132,CUST00467,AGENT0147,MERCH0080,POS Withdrawal,186664.14,Success,2025-07-13 16:19:03,,Mobile App
TXN0000133,CUST00040,AGENT0045,MERCH0100,Transfer,95566.3,Success,2025-06-27 10:25:40,,Mobile App
TXN0000134,CUST00636,AGENT0076,MERCH0049,Transfer,175114.26,Success,2025-02-13 15:24:40,,USSD
TXN0000135,CUST00561,AGENT0068,MERCH0077,Transfer,142321.37,Success,2025-06-16 08:54:04,,POS
TXN0000136,CUST00695,AGENT0144,MERCH0084,Wallet Top-up,214142.3,Success,2024-09-01 01:27:47,,POS
TXN0000137,CUST00592,AGENT0024,MERCH0069,Wallet Top-up,45215.47,Success,2025-07-13 22:19:53,,Mobile App
TXN0000138,CUST00554,AGENT0081,MERCH0094,Wallet Top-up,120260.01,Success,2024-12-16 09:36:50,,POS
TXN0000139,CUST00175,AGENT0067,MERCH0005,Wallet Top-up,108230.56,Success,2025-05-04 12:22:35,,Mobile App
TXN0000140,CUST00417,AGENT0146,MERCH0097,Wallet Top-up,193814.31,Success,2025-05-04 19:40:05,,USSD
TXN0000141,CUST00489,AGENT0125,MERCH0028,POS Withdrawal,106798.71,Success,2024-12-20 08:34:02,,Mobile App
TXN0000142,CUST00150,AGENT0056,MERCH0040,Wallet Top-up,26460.83,Success,2024-12-31 03:45:23,,Web
TXN0000143,CUST00176,AGENT0142,MERCH0099,Transfer,90587.0,Success,2025-06-15 18:24:50,,Mobile App
TXN0000144,CUST00589,AGENT0094,MERCH0075,Airtime Purchase,275258.53,Success,2024-10-10 18:14:32,,Mobile App
TXN0000145,CUST00674,AGENT0089,MERCH0094,Transfer,260908.0,Failed,2024-11-22 18:27:01,,USSD
TXN0000146,CUST00052,AGENT0008,MERCH0011,Transfer,16826.76,Success,2025-01-24 06:50:10,,Mobile App
TXN0000147,CUST00527,AGENT0090,MERCH0089,Transfer,221574.87,Success,2024-11-08 04:43:14,Insufficient Funds,Mobile App
TXN0000148,CUST00187,AGENT0010,MERCH0074,Airtime Purchase,127895.01,Success,2024-08-15 08:01:05,,Mobile App
TXN0000149,CUST00312,AGENT0010,MERCH0022,Transfer,175435.96,Success,2025-07-24 22:17:53,,USSD
TXN0000150,CUST00396,AGENT0046,MERCH0019,QR Payment,141172.28,Success,2025-03-17 12:34:31,,Mobile App
TXN0000151,CUST00505,AGENT0051,MERCH0018,Transfer,222275.57,Success,2024-11-23 05:09:06,,Mobile App
TXN0000152,CUST00368,AGENT0123,MERCH0043,Transfer,98297.63,Success,2025-03-18 14:41:05,,Mobile App
TXN0000153,CUST00367,AGENT0142,MERCH0082,Transfer,211914.25,Success,2025-06-16 14:11:05,,Mobile App
TXN0000154,CUST00217,AGENT0068,MERCH0070,Bill Payment,177553.39,Success,2025-02-21 19:44:45,,Mobile App
TXN0000155,CUST00736,AGENT0030,MERCH0073,Wallet Top-up,263955.95,Success,2025-01-09 00:38:48,,Mobile App
TXN0000156,CUST00651,AGENT0112,MERCH0010,Transfer,140821.24,Success,2024-08-26 23:55:15,,Mobile App
TXN0000157,CUST00054,AGENT0024,MERCH0031,Wallet Top-up,141892.7,Success,2024-08-25 10:42:46,Network Error,Mobile App
TXN0000158,CUST00087,AGENT0130,MERCH0081,Wallet Top-up,32979.61,Success,2025-08-02 23:38:50,,Mobile App
TXN0000159,CUST00179,AGENT0124,MERCH0055,Transfer,16044.14,Success,2024-10-13 06:33:03,,Mobile App
TXN0000160,CUST00737,AGENT0146,MERCH0002,Bill Payment,134290.66,Success,2025-06-13 19:57:05,,Mobile App
TXN0000161,CUST00633,AGENT0016,MERCH0056,Transfer,160679.43,Success,2025-07-25 14:30:33,,USSD
TXN0000162,CUST00669,AGENT0094,MERCH0031,Bill Payment,42232.42,Success,2025-02-13 03:27:53,,Mobile App
TXN0000163,CUST00293,AGENT0138,MERCH0020,Bill Payment,264676.0,Success,2024-11-21 06:31:14,,Mobile App
TXN0000164,CUST00106,AGENT0048,MERCH0051,Airtime Purchase,43731.05,Success,2025-05-02 01:12:04,,Mobile App
TXN0000165,CUST00356,AGENT0068,MERCH0054,QR Payment,186378.03,Success,2025-01-05 18:24:29,,Mobile App
TXN0000166,CUST00236,AGENT0089,MERCH0039,Transfer,199658.93,Success,2024-08-29 00:21:56,Invalid PIN,Mobile App
TXN0000167,CUST00512,AGENT0089,MERCH0039,POS Withdrawal,112870.79,Success,2025-07-23 07:30:50,,Mobile App
TXN0000168,CUST00508,AGENT0098,MERCH0096,Transfer,25939.8,Success,2025-05-22 13:10:22,,USSD
TXN0000169,CUST00491,AGENT0133,MERCH0082,Airtime Purchase,124311.59,Success,2024-08-18 07:52:27,Account Frozen,Mobile App
TXN0000170,CUST00556,AGENT0120,MERCH0059,Bill Payment,20458.1,Success,2024-12-12 09:13:50,,Mobile App
TXN0000171,CUST00165,AGENT0086,MERCH0041,Transfer,5734.53,Success,2025-01-06 17:28:57,,Mobile App
TXN0000172,CUST00100,AGENT0019,MERCH0008,Wallet Top-up,195784.74,Success,2025-05-29 22:30:01,,USSD
TXN0000173,CUST00522,AGENT0051,MERCH0063,Transfer,148073.54,Failed,2025-05-22 23:42:20,,Mobile App
TXN0000174,CUST00769,AGENT0108,MERCH0067,Bill Payment,19297.21,Success,2025-05-04 12:21:58,,Mobile App
TXN0000175,CUST00488,AGENT0150,MERCH0010,Airtime Purchase,180292.48,Success,2025-02-16 03:19:48,,USSD
TXN0000176,CUST00633,AGENT0136,MERCH0018,Wallet Top-up,57303.56,Success,2024-08-15 08:03:39,,Web
TXN0000177,CUST00085,AGENT0147,MERCH0065,Wallet Top-up,180185.86,Success,2025-07-08 09:24:58,,Mobile App
TXN0000178,CUST00469,AGENT0059,MERCH0081,QR Payment,239069.01,Success,2025-02-02 16:33:46,,Mobile App
TXN0000179,CUST00284,AGENT0029,MERCH0099,Wallet Top-up,210658.09,Success,2025-06-02 23:40:54,,USSD
TXN0000180,CUST00683,AGENT0093,MERCH0014,Wallet Top-up,143225.8,Success,2025-01-22 10:27:02,Network Error,Mobile App
TXN0000181,CUST00577,AGENT0127,MERCH0089,Airtime Purchase,7420.69,Failed,2024-08-17 07:04:42,,POS
TXN0000182,CUST00775,AGENT0080,MERCH0046,Transfer,196170.47,Success,2025-03-19 14:53:06,,USSD
TXN0000183,CUST00749,AGENT0104,MERCH0002,POS Withdrawal,289574.97,Success,2025-03-02 09:03:23,,USSD
TXN0000184,CUST00010,AGENT0118,MERCH0100,QR Payment,34840.23,Success,2024-10-29 08:12:00,,Mobile App
TXN0000185,CUST00146,AGENT0033,MERCH0086,Bill Payment,32075.23,Success,2025-03-21 12:46:39,,Mobile App
TXN0000186,CUST00506,AGENT0105,MERCH0029,Wallet Top-up,217716.47,Success,2025-07-17 13:43:49,,Mobile App
TXN0000187,CUST00252,AGENT0085,MERCH0077,Transfer,220855.84,Success,2025-07-30 02:50:27,,USSD
TXN0000188,CUST00397,AGENT0061,MERCH0036,Transfer,232315.57,Success,2025-01-04 16:24:13,,USSD
TXN0000189,CUST00539,AGENT0099,MERCH0067,Wallet Top-up,290675.0,Success,2025-03-04 20:43:44,,Mobile App
TXN0000190,CUST00151,AGENT0050,MERCH0097,QR Payment,28486.82,Success,2024-12-20 11:41:27,,Mobile App
TXN0000191,CUST00797,AGENT0038,MERCH0077,Transfer,103134.4,Success,2025-03-01 23:28:56,,Mobile App
TXN0000192,CUST00654,AGENT0125,MERCH0086,Transfer,93558.98,Success,2025-08-14 00:49:57,,Mobile App
TXN0000193,CUST00726,AGENT0127,MERCH0029,Transfer,69385.08,Failed,2024-10-11 01:51:46,,POS
TXN0000194,CUST00268,AGENT0046,MERCH0007,POS Withdrawal,202175.58,Success,2025-03-24 09:52:23,,Mobile App
TXN0000195,CUST00562,AGENT0003,MERCH0097,Transfer,101401.03,Success,2024-12-05 15:45:32,,Mobile App
TXN0000196,CUST00023,AGENT0022,MERCH0034,Transfer,41558.66,Success,2025-01-17 09:35:10,,Mobile App
TXN0000197,CUST00560,AGENT0125,MERCH0006,Wallet Top-up,198838.14,Success,2024-11-24 07:20:01,,POS
TXN0000198,CUST00764,AGENT0017,MERCH0093,Wallet Top-up,51634.27,Success,2024-12-22 21:04:51,,POS
TXN0000199,CUST00421,AGENT0063,MERCH0081,Airtime Purchase,262036.79,Success,2025-08-09 12:30:56,,Mobile App
TXN0000200,CUST00480,AGENT0008,MERCH0039,Wallet Top-up,236565.14,Success,2025-07-28 16:46:09,,Mobile App
TXN0000201,CUST00165,AGENT0100,MERCH0080,Transfer,217281.46,Success,2024-11-21 13:54:07,,Mobile App
TXN0000202,CUST00256,AGENT0084,MERCH0030,Wallet Top-up,102245.19,Success,2024-11-23 22:05:52,,Mobile App
TXN0000203,CUST00623,AGENT0108,MERCH0060,QR Payment,207281.11,Success,2024-10-02 10:44:05,,USSD
TXN0000204,CUST00153,AGENT0103,MERCH0078,Transfer,190945.32,Success,2025-01-30 23:32:20,Network Error,POS
TXN0000205,CUST00300,AGENT0078,MERCH0085,Wallet Top-up,88505.58,Success,2025-03-23 05:48:53,,Mobile App
TXN0000206,CUST00716,AGENT0069,MERCH0073,Wallet Top-up,24057.71,Success,2025-06-10 12:52:11,,Mobile App
TXN0000207,CUST00621,AGENT0031,MERCH0067,Transfer,236008.61,Failed,2025-03-31 23:46:23,,Mobile App
TXN0000208,CUST00545,AGENT0106,MERCH0006,Wallet Top-up,7155.01,Success,2025-05-01 08:25:36,,POS
TXN0000209,CUST00011,AGENT0029,MERCH0003,Bill Payment,63960.85,Success,2025-06-09 21:05:57,Network Error,Mobile App
TXN0000210,CUST00037,AGENT0057,MERCH0031,Transfer,90389.75,Success,2025-01-23 19:20:27,,Web
TXN0000211,CUST00526,AGENT0129,MERCH0060,Bill Payment,37515.08,Success,2025-07-13 18:18:16,,USSD
TXN0000212,CUST00594,AGENT0135,MERCH0029,Wallet Top-up,48891.8,Success,2024-09-17 02:06:35,,Mobile App
TXN0000213,CUST00629,AGENT0050,MERCH0086,Transfer,14188.32,Success,2024-10-20 06:04:21,,Mobile App
TXN0000214,CUST00325,AGENT0133,MERCH0065,Bill Payment,289589.26,Success,2025-01-16 13:22:55,Account Frozen,Mobile App
TXN0000215,CUST00740,AGENT0008,MERCH0015,Wallet Top-up,190713.98,Success,2025-04-14 22:32:01,Network Error,Mobile App
TXN0000216,CUST00280,AGENT0030,MERCH0042,Transfer,227384.81,Success,2025-01-11 06:04:41,Insufficient Funds,Mobile App
TXN0000217,CUST00184,AGENT0039,MERCH0091,Wallet Top-up,108430.47,Success,2025-04-05 00:48:59,,USSD
TXN0000218,CUST00131,AGENT0056,MERCH0077,Wallet Top-up,221207.7,Success,2025-06-01 18:26:23,,Web
TXN0000219,CUST00402,AGENT0011,MERCH0075,Bill Payment,174783.89,Success,2024-12-28 10:27:14,,Mobile App
TXN0000220,CUST00637,AGENT0079,MERCH0074,Wallet Top-up,231239.39,Success,2025-06-26 19:12:06,,Mobile App
TXN0000221,CUST00402,AGENT0066,MERCH0028,Wallet Top-up,227765.2,Success,2024-11-21 01:47:45,,Mobile App
TXN0000222,CUST00562,AGENT0082,MERCH0059,Airtime Purchase,197067.74,Success,2025-07-20 16:15:43,,USSD
TXN0000223,CUST00787,AGENT0117,MERCH0025,QR Payment,210316.68,Success,2024-10-11 15:58:20,,Mobile App
TXN0000224,CUST00642,AGENT0092,MERCH0007,POS Withdrawal,129937.0,Success,2025-03-07 07:58:24,,Mobile App
TXN0000225,CUST00188,AGENT0041,MERCH0064,Airtime Purchase,164922.94,Success,2024-12-10 02:51:34,,POS
